Original_txt,Label
#8624960500  analysed the sequence data and visualised the results,"[""Visualization""]"
analyzed the simulation data as 3D visualizations and histograms,"[""Visualization""]"
Author  #6701474810  contributed to figure editing and manuscript review,"[""Visualization"", ""Writing - Review & Editing""]"
consulted and provided feedback on the statistical analyses and data presentation,"[""Visualization""]"
contributed to analysis and visualization of RNA-seq data,"[""Visualization""]"
"Contribution in visualizing overall scope of the manuscript, drafting of introduction section, feedback/input on improving the draft of entire contents.","[""Visualization"", ""Writing - Review & Editing"", ""Writing - Original Draft""]"
Experimental conditions and data presentation were as described in Figure 2A.,"[""Visualization""]"
Figure graphic designs were prepared by  #57193231146,"[""Visualization""]"
He also developed the figures (including graphical abstract) and tables presented in the paper,"[""Visualization""]"
He developed the text and graphics presented in the paper based upon expertise provided by the rest of the collaboration team,"[""Visualization"", ""Writing - Original Draft""]"
image contribution,"[""Visualization""]"
performed data integration and visualization,"[""Visualization""]"
performed scRNA-seq and bioinformatic analysis and result visualization,"[""Visualization""]"
Performed the data interpretation and final graphical visualization,"[""Visualization""]"
SML and JYZ were responsible for preparation of the tables and figures,"[""Visualization""]"
The fifth and sixth authors provided valuable suggestions related to the presentation of the manuscript and helped in language editing and improvement.,"[""Visualization"", ""Writing - Review & Editing""]"
"The graphics were vetted by  #57213625887 , and details of the modeling tool use verified by him","[""Visualization"", ""Software""]"
The visualization is done by  #57260967800,"[""Visualization""]"
"visualization of data,  #37092651500 ,  #56493279600 , and  #7006763844 ","[""Visualization""]"
"visualization was conducted by  #12445137700,  #7801448416, and  #44761148300","[""Visualization""]"
"visualization, investigation  #37032302200 ,  #57194193738 ,  #57221124601 ,  #6603040090 ,  #6505867581 ","[""Visualization""]"
Wrote first drafts of all geologic sections and created associated figures,"[""Visualization"", ""Writing - Original Draft""]"
#55571309400 ngnan  #57375393100  contributed to the modification of all figures and tables in the paper,"[""Visualization""]"
#57219659417  Sumritpradit have made the acquisition and interpretation of data,"[""Funding acquisition""]"
"#36106492000 : Methodology, Investigation, Resources, Data curation, Writing - review & editing, Visualization, Funding acquisition","[""Writing - Review & Editing"",""Visualization"",""Funding acquisition""]"
"#6603547106  supervised the study, obtained funding,provided material support, and was involved in study concept and design,drafting of the manuscript, critical revision of the manuscript for important intellectual content,and statistical analysis","[""Funding acquisition"",""Writing - Original Draft"",""Writing - Review & Editing""]"
Funding acquisition,"[""Funding acquisition""]"
"funding acquisition, #57034198500 ","[""Funding acquisition""]"
"#15035514800 M: Funding acquisition, Resources, Supervision","[""Funding acquisition""]"
"#24341072000 : Conceptualization, Methodology,Supervision, Project administration, Funding acquisition.","[""Funding acquisition""]"
Funding acquisition,"[""Funding acquisition""]"
"#57214889278 : Resources, Methodology, Conceptualization, Supervision, Project administration,  #57205267319 nding acquisition, Writing- Reviewing and Editing","[""Funding acquisition""]"
"#7005603400 : Conceptualization, Methodology, Investigation, Visualization, Supervision, Resources, Funding acquisition, Writing-Original Draft, and Writing-Review and Editing.","[""Funding acquisition"",""Writing - Original Draft"",""Writing - Review & Editing""]"
Funding acquisition.,"[""Funding acquisition""]"
"#7005626074 : Conceptualization, Resources, Writing - review & editing, Visualization, Supervision, Funding acquisition.","[""Funding acquisition"",""Writing - Review & Editing"",""Visualization""]"
"#54385418200 : Writing – review & editing, Funding acquisition.","[""Funding acquisition"",""Writing - Review & Editing""]"
"#57212496109  did data curation, funding acquisitionand and project administration","[""Funding acquisition""]"
"Obtained funding: Nan-Yao  #7402722678 , Tsung-Chain  #35067739100 , and Wen-Chien  #56450326500 ","[""Funding acquisition""]"
"funding acquisition,  #57208713232  and  #8524598400 ","[""Funding acquisition""]"
Funding acquisition,"[""Funding acquisition""]"
"#57226718746 : Conceptualization, Writing – review & editing, Funding acquisition","[""Funding acquisition"",""Writing - Review & Editing""]"
"#7005587036  was lead investigator for the study, including: design, implementation, data analysis, manuscript preparation and funding acquisition.","[""Funding acquisition""]"
"#35617283100 : Funding acquisition, Methodology, Writing – review & editing.","[""Funding acquisition"",""Writing - Review & Editing""]"
"Funding acquisition, G.J.H.","[""Funding acquisition""]"
"#56681077700 ,  #7201454145 ,  #23017701800 , and  #26535851600  provided funding and resources to support the project.","[""Funding acquisition""]"
"Funding acquisition:  #36753149000 ,  #57217288820 ,  #15725676700 ","[""Funding acquisition""]"
"Cheng-Bin  #7102694458 : Conceptualization,  #55674625100 nding acquisition, Resources, Supervision, Project administration","[""Funding acquisition""]"
"#6505647291 -R.: conception and design, financial support, collection and assembly of data, data analysis and interpretation, manuscript writing.","[""Funding acquisition""]"
"#7402466014  #7006179310   #6507135338 : Conceptualization, Methodology, Software, Writing - review & editing, Supervision, Project administration, Funding acquisition.","[""Funding acquisition"",""Writing - Review & Editing"",""Software""]"
Funding acquisition ( #56455968600 ).,"[""Funding acquisition""]"
"#57220053718 ,  #16022916500 , and J-OF. designed the research, directed the work, analyzed data and provided funding.","[""Funding acquisition""]"
"#7801490077 : Conceptualization, Methodology, Writing - Reviewing and Editing, Supervision, Funding acquisition","[""Funding acquisition"",""Writing - Review & Editing""]"
"#7006652796 : Conceptualization, Writing – review & editing, Supervision, Funding acquisition","[""Funding acquisition"",""Writing - Review & Editing""]"
"funding acquisition, R. #6505867581 ll authors have read and agreed to the published version of the manuscript.","[""Funding acquisition""]"
"funding acquisition,  #7201349877 ","[""Funding acquisition""]"
"Sung-Gyu  #55154726900 : Funding acquisition, Methodology, Investigation","[""Funding acquisition""]"
#15072804600  obtained funding and supervised the study.,"[""Funding acquisition""]"
"funding acquisition,  #36795260600 ,  #57210320889 , and  #6602998127 ","[""Funding acquisition""]"
"#57207712694  and  #35094752000  obtained funding for biomass growth and ash reduction, respectively","[""Funding acquisition""]"
"#9041668500  contributed to conceptualizing the study, writing the paper and obtaining funding.","[""Funding acquisition"",""Writing - Original Draft""]"
"Natalie  #57212841645 : Conceptualization, Funding acquisition, Project administration, Writing – review & editing.","[""Funding acquisition"",""Writing - Review & Editing""]"
"#57218089608 : Methodology, Project administration, Funding acquisition","[""Funding acquisition""]"
"Funding acquisition,  #56369633200  and  #7406302461 ","[""Funding acquisition""]"
"funding acquisition,  #56735866000 ,  #10043205600 , and  #6602306534 ","[""Funding acquisition""]"
"#55742063400   #8613997100 u: Supervision, Funding acquisition","[""Funding acquisition""]"
"#55897871400 : Conceptualization, Methodology, Validation, Formal analysis, Investigation, Writing - original draft, Writing - review & editing, Supervision, Project administration, Funding acquisition.","[""Funding acquisition"",""Writing - Original Draft"",""Writing - Review & Editing""]"
#36480728000   #36480728000  and  #57188567005   #57188567005  provided partial test and funds assistance,"[""Funding acquisition""]"
"Funding acquisition and resources:  #57215348287 ,  #7103197894 ","[""Funding acquisition""]"
"Funding acquisition:  #56514170000 -T,  #7201542416 B,  #6701515597 ,  #55325228500 J, and  #57205180879 C. Investigation:  #56514170000 -T,  #57205180879 , and  #57214802612 ","[""Funding acquisition""]"
Funding acquisition,"[""Funding acquisition""]"
"#56072822200  Funding acquisition, Supervision, Conceptualization, Visualization, Writing - review & editing.","[""Funding acquisition"",""Writing - Review & Editing"",""Visualization""]"
"funding acquisition,  #57040665700 ,  #18438164100 ,  #7005725407 , and  #35337294000 .","[""Funding acquisition""]"
"#57490454600 H was involved in supervision, conceptualization, writing - review & editing, and funding acquisition","[""Funding acquisition"",""Writing - Review & Editing""]"
 #22951040500  and  #7004611729  proposed the idea and funded the project,"[""Funding acquisition""]"
"#24729345200 : Conceptualization, Data curation, Formal analysis, Funding acquisition, Investigation, Methodology, Project administration, Resources, Software, Supervision, Validation, Visualization, Writing - original draft, Writing - review & editing.","[""Funding acquisition"",""Writing - Original Draft"",""Writing - Review & Editing"",""Software"",""Visualization""]"
#16200457300  funding acquisition,"[""Funding acquisition""]"
"#20734419800 : Methodology (Experiment A3), Investigation, Writing – Review and editing, Funding acquisition","[""Funding acquisition"",""Writing - Review & Editing""]"
"#17734330500 ,  #7201641848 ,  #22942260300 : conception and design, financial support, data interpretation and manuscript correction","[""Funding acquisition""]"
#57580324200  and  #7006707277  funding acquisition.,"[""Funding acquisition""]"
"#56247422700 : Supervision, Funding acquisition","[""Funding acquisition""]"
#57202561885 N. financed the study and supervised the research.,"[""Funding acquisition""]"
"#55868105300 : Investigation, Funding acquisition","[""Funding acquisition""]"
"#55644500400   #57206915280 : Conceptualization, Methodology, Formal analysis, Validation, Writing – review & editing, Funding acquisition.","[""Funding acquisition"",""Writing - Review & Editing""]"
"funding acquisition,  #23978929600 ","[""Funding acquisition""]"
"#56000398100 : Supervision, Funding acquisition","[""Funding acquisition""]"
"funding acquisition,  #55249639800  and  #25822898400 ","[""Funding acquisition""]"
"#57194125144  performed data collection, data analysis, data interpretation, figure design, and funding acquisition","[""Funding acquisition""]"
"#57194207328 : Conceptualization, Funding acquisition, Investigation, Methodology, Project administration, Supervision, Validation, Writing - review & editing","[""Funding acquisition"",""Writing - Review & Editing""]"
"Supervision and Funding acquisition,  #7402828618  and  #57196663988 ","[""Funding acquisition""]"
"Funding acquisition:  #57194740758 ,  #7005340777 astaňo,  #57203260234 .","[""Funding acquisition""]"
"#6603952623 : Conceptualization, Methodology, Validation, Formal analysis, Resources, Data curation, Writing - original draft, Writing - review & editing, Supervision, Project administration, Funding acquisition.","[""Funding acquisition"",""Writing - Original Draft"",""Writing - Review & Editing""]"
"#36344767000 : Conceptualization, Methodology, Investigation, Writing: Review and editing, Project administration, Supervision, Resources, Funding acquisition.","[""Funding acquisition""]"
"#6701791791 : Conceptualization, Methodology, Resources, Funding acquisition, Writing - Original Draft, Project administration, Supervision.","[""Funding acquisition"",""Writing - Original Draft""]"
"Thomas  #7005646676 : Conceptualization, Methodology, Investigation, Writing - Review & Editing, Funding acquisition","[""Funding acquisition"",""Writing - Review & Editing""]"
"Zao-jian  #7201439157 : Supervision, Funding acquisition, Project administration, Writing - Reviewing and Editing","[""Funding acquisition"",""Writing - Review & Editing""]"
"#8625791400 , funding acquisition.","[""Funding acquisition""]"
"funding acquisition,  #12771741600 ,  #7005747512 ,  #57191576017 ,  #57075917400 , and  #6603361794 ","[""Funding acquisition""]"
"#17136681500  conceptualized and supervised the whole project, provided the funding, and reviewed and edited the paper.","[""Funding acquisition"",""Writing - Review & Editing""]"
"#16031197300 : Conceptualization, Resources, Data curation, Writing - original draft, Writing - review & editing, Supervision, Software, Project administration, Funding acquisition","[""Funding acquisition"",""Writing - Original Draft"",""Writing - Review & Editing"",""Software""]"
"#55549989100  Örenay- #55797214200 : Conceptualization, Methodology, Writing - review & editing, Supervision, Funding acquisition.","[""Funding acquisition"",""Writing - Review & Editing""]"
Funding acquisition,"[""Funding acquisition""]"
Project Administration and funding:  #6602506981 ,"[""Funding acquisition""]"
#7006074875   #7103319256  supervised all aspects of the study and provided the funding.,"[""Funding acquisition""]"
"Yun-gen XU and Guo-qing GONG funded the experiment, reviewed the manuscript, and approved the final version of the manuscript.","[""Funding acquisition"",""Writing - Review & Editing""]"
"D. #57232770100 ,  #7004549116 ,  #57232076500 ,  #57132390700 , and  #57682114600  acquired funding","[""Funding acquisition""]"
"Hugo  #24168027200 : Conceptualization, Validation, Investigation, Resources, Data curation, Formal analysis, Writing - original draft, Methodology, Writing - Review & Editing, Visualization, Supervision, Project administration, Funding acquisition","[""Funding acquisition"",""Writing - Review & Editing"",""Visualization""]"
"#7004493961 : Conceptualization, methodology, investigation, analysis, funding, writing (editing).","[""Funding acquisition"",""Writing - Review & Editing""]"
"#36019216000 : Conceptualization, Methodology, Validation, Funding acquisition, Writing-review & editing","[""Funding acquisition"",""Writing - Review & Editing""]"
#24400213300  was responsible for providing funding,"[""Funding acquisition""]"
#57219948113 aoyan DENG: Funding acquisition,"[""Funding acquisition""]"
assisted with acquiring the funding and with analyzing and interpreting electrophysiological recordings,"[""Funding acquisition""]"
"#57216439153   #57768589600 : Resources, Writing - review & editing, Supervision, Project administration, Funding acquisition","[""Funding acquisition"",""Writing - Review & Editing""]"
#7202856872  was responsible for the funding acquisition,"[""Funding acquisition""]"
"#56421547500 : Funding acquisition, Writing - review & editing","[""Funding acquisition"",""Writing - Review & Editing""]"
"#7003408076  designed experiments, performed thymic lobes graft under the kidney capsule, and secured funding","[""Funding acquisition""]"
Supervision and funding acquisition was by  #7003710523 .,"[""Funding acquisition""]"
"funding acquisition,  #55046525300  and  #7201963275 ","[""Funding acquisition""]"
"#6603214628 ,  #6507755452 ,  #6602264645 , and  #55708387700  obtained funding","[""Funding acquisition""]"
"#55953721200 ,  #24392717000 ,  #15747056200 ,  #7006285665 , and  #7202012519  obtained funding","[""Funding acquisition""]"
#7101787367  obtained funding,"[""Funding acquisition""]"
"#14056524100 : Conceptualization, Methodology, Writing – Review & Editing, Funding acquisition","[""Funding acquisition"",""Writing - Review & Editing""]"
" #57202050766 : Conceptualization, Funding acquisition, Methodology, Formal analysis, Investigation, Writing – Original Draft, Writing – Review and Editing, Software, Validation","[""Funding acquisition"",""Writing - Original Draft"",""Writing - Review & Editing"",""Software""]"
"#57206472130  #35617283100   #57206479576 : Conceptualization, Funding acquisition, Methodology, Software, Visualization, Writing – original draft, Writing – review & editing","[""Funding acquisition"",""Writing - Original Draft"",""Writing - Review & Editing"",""Software"",""Visualization""]"
#16246308500  advised on and enabled funding for the project.,"[""Funding acquisition""]"
"#7501586959 : Conceptualization, Funding acquisition, Formal analysis, Writing, Supervision, Writing – review & editing","[""Funding acquisition"",""Writing - Original Draft"",""Writing - Review & Editing""]"
"#56501533300  coordinated the research, secured the funding, and guided the experimental design and the preparation of the manuscript.","[""Funding acquisition""]"
"#16309505100 -G.,  #57221972649 ,  #57201771245 , and  #7006517120  funding acquisition","[""Funding acquisition""]"
"#55890310100 .,  #56135575700 , and W.- #57373062200  acquired funding","[""Funding acquisition""]"
Obtained funding:  #7003610807   #24325576900 .,"[""Funding acquisition""]"
"#57239940500 : Data curation, Software, Formal analysis, Writing -review & editing","[""Software""]"
#57205771852  (biomedical engineer) analyzed the EEG data with Matlab software,"[""Software""]"
" #6508182729 : conceptualization, methodology, software, validation, formal analysis, investigation, data curation, writing – original draft, visualization, project administration","[""Software""]"
#55315085900 : Software,"[""Software""]"
" #24773050300 : Conceptualization, Writing - original draft, Supervision, Project administration, Funding acquisition,  #24773634900 : Investigation, Methodology, Formal analysis, Writing - original draft,  #56809400200 : Methodology, Formal analysis, Writing - original draft,  #55935979100 : Software, Resources, Project administration,  #56749146500 : Formal analysis,  #57195994059 : Formal analysis,  #8967971100 : Methodology, Formal analysis","[""Software""]"
"#56088083500 ,  #57190303845 , and  #6602160928  developed the software for image reconstruction","[""Software""]"
" #57210144079 : Conceptualization, Methodology, Software, Data curation, Writing- Original draft preparation","[""Software""]"
#7004297142  codeveloped and edited the manuscript.,"[""Software""]"
#56809809000  and  #57665730600  wrote the LabVIEW software for photoacoustic data acquisition,"[""Software""]"
"Gabriel  #7404852187 : Conceptualization, Methodology, Software, Writing- Reviewing and Editing.","[""Software""]"
"#24332201800 : Conceptualization, Methodology, Software, Formal Analysis, Investigation, Writing – Original draft preparation, Writing – Review & Editing, Supervision, Resources.","[""Software""]"
software,"[""Software""]"
"#6507951679 : Software, Data Curation, Visualization","[""Software""]"
"Jin-Won  #57224542054 : Conceptualization, Methodology, Data collection and curation, Software, Investigation, Draft preparation","[""Software""]"
Software  #7006639927 : Conceptualization,"[""Software""]"
"Software,  #23005830500 ","[""Software""]"
"Software:  #57022456500 ,  #57203034762 ,  #36611071500 ,  #7103161935 ","[""Software""]"
"#57209733649 : Conceptualization, Methodology, Software, Investigation, Writing -original draft preparation, Editing, Reviewing","[""Software""]"
"Maria-Eleni  #57223863011 : Conceptualization, Methodology, Software, Formal analysis, Writing – original draft, preparation, Writing – review & editing","[""Software""]"
" #56578870600 : Supervision, Conceptualization, Methodology, Software, Validation, Formal analysis, Investigation, Data curation, Project administration, Writing-original draft","[""Software""]"
"#57189713548 : Software, data collection, writing – review&editing","[""Software""]"
" #57194795529  QU: Writing - Original Draft, Software, Formal analysis, Visualization","[""Software""]"
" #57206741716 : Writing – original draft, Software, Formal analysis, Investigation, Validation, Visualization","[""Software""]"
"#57212515995 : Software, Validation.","[""Software""]"
TermAuthor 1⁎#Author 2⁎#Author n⁎#Conceptualization #57196231483   #57197802251  #57226277176  #57197802251 Methodology / Study design #57196231483   #57197802251  #57226277176 Software #57196231483   #57197802251 Sook-Young  #25634593200 Validation #57196231483   #57197802251 Sook-Young  #25634593200 Formal analysis #57196231483   #57197802251 Sook-Young  #25634593200  #57197802251 Investigation #57196231483   #57197802251 Sook-Young  #25634593200  #57197802251 Resources #57197802251  #57214047163   #57197802251  #56651581700 Data curation #57197802251  #57214047163   #57197802251  #56651581700 Writing – original draft #57197802251 Sook-Young  #25634593200 Writing – review and editing #57196231483   #57197802251  #57226277176 Visualization #57196231483   #57197802251  #57226277176 Sook-Young  #25634593200 Supervision #7103210298  #57225132536   #57197802251  #57226277176 Project administration #57196231483   #57197802251  #57226277176  #7103210298 Funding acquisition #57226277176,"[""Software""]"
"T.  #57209693950 : Investigation, Software, Resources, Writing - Original Draft preparation","[""Software""]"
"Software:  #55735173500  Saeidﬁrozeh,  #55911913000  Shaﬁekhani","[""Software""]"
"#57201210413 : Software, Validation, Writing – review & editing","[""Software""]"
"#57206472130  #35617283100   #57206479576 : Conceptualization, Funding acquisition, Methodology, Software, Visualization, Writing – original draft, Writing – review & editing","[""Software""]"
"#55455295500  performed the wounding experiments, the cross-correlation analysis, the miniCic and caspase correlation, and the local projection algorithm","[""Software""]"
"Marcio S.  #36117675900  and  #57195522526  were responsible for conceptualization, data curation, formal analysis, investigation, methodology, resources, software, editing and reviewing the original draft","[""Software""]"
"Software,  #55877400100 ,  #56016476400 ","[""Software""]"
Software:  #15725828300,"[""Software""]"
" #57195229138 : Conceptualization, Methodology, Software, Writing - original draft","[""Software""]"
#8562872200  conceptualized the software work-flow and oversaw the project development,"[""Software""]"
" #57201012637  (石临源): Methodology, Software, Investigation, Writing - Original Draft, Visualization  #55919964600 : Assistance and discussion of research methods, potentials, and results","[""Software""]"
"#23094309400 : Software, Writing – Review & Editing","[""Software""]"
" #7203032049 : Visualization, Investigation, Software","[""Software""]"
"software, all authors","[""Software""]"
Software,"[""Software""]"
"#6603960177 : Conceptualization, Data curation, Formal analysis, Funding acquisition, Investigation, Methodology, Project administration, Resources, Software, Supervision, Validation, Visualization, Writing - original draft, Writing - review & editing","[""Software""]"
"#57202211983  Xiao-Hong: Methodology, Software","[""Software""]"
"#26032012000 : Conceptualization, Data curation, Resources, Software, Investigation, Writing – review & editing, Formal analysis, Methodology, Project administration, Supervision, Validation.","[""Software""]"
" #57201383347 : Conceptualization, Methodology, Data curation, Software, Formal analysis, Visualization, Writing-Original draft preparation","[""Software""]"
" #56272436200 : Conceptualization, Protocol development & review, Project administration, Data curation, Formal analysis, Software, Investigation, Methodology, Validation, Writing – original draft","[""Software""]"
#24179220600  contribute to the CT scanning and software application,"[""Software""]"
#7003404706  contributed statistical analysis code and revised the manuscript,"[""Software""]"
"#57189351659 : Software, data collection, project administration, writing – review&editing","[""Software""]"
" #12778847900  conceived the study, designed the mathematical model and program codes, performed simulations and analytical calculations, prepared graphs, and wrote the manuscript","[""Software""]"
#38061219300 : Software -,"[""Software""]"
"#57219595875 : Software, Formal analysis","[""Software""]"
" #57222195231 : Methodology, Software, Formal analysis, Investigation, Data curation, Writing- Original draft preparation, Validation","[""Software""]"
"#7006613537 : Formal analysis, Software","[""Software""]"
"#56711083700 ,  #57216360363 ,  #57216362980 ,  #57216361433 ,  #37077298000 ,  #57193952878 -C.,  #57205712695 ,  #57216364680 -S.,  #24341936800 ,  #57209712152 ,  #57192090286 , and  #14013901900  provided software feature, design, and usability feedback","[""Software""]"
"#55798963500 , PhD: Conceptualization, Methodology, Software, Investigation, Writing (original draft and review/editing), Supervision, Funding Acquisition","[""Software""]"
"#57825441600 : software, formal analysis","[""Software""]"
" #57195560385   #57195560385 : Conceptualization, Methodology, Software, Data curation, Writing- Original draft preparation","[""Software""]"
"#57208530490 : Methodology, Software, Writing - review & editing","[""Software""]"
"#55890310100 .,  #57196121760 .,  #57373599200 .,  #57201253241 ., and  #57770605500  handled software","[""Software""]"
" #57224514338 : Software, Writing – original draft, Writing – review & editing, Visualization","[""Software""]"
" #57220477789 : Conceptualization, Methodology, Software, Writing - Original Draft, Writing - Review & Editing, Supervision","[""Software""]"
#6603822217  wrote the software for data analysis,"[""Software""]"
"#57090125700 : Conceptualization, Methodology, Software, Data curation, Writing - original draft","[""Software""]"
" #57219327723  and  #57194022915  contributed to conceptualization, data curation, formal analysis, methodology, software, validation, original draft writing, and review and editing","[""Software""]"
"#55600332300 , PhD: Conceptualization, Methodology, Software, Investigation, Resources, Writing (original draft and review/editing), Supervision, Project Administration, Funding Acquisition.","[""Software""]"
"#57217035246  and  #15623216700  developed MATLAB code based on the aEEG and WTC algorithm,  #57217035246  performed the data analysis and prepared/wrote the first draft of the manuscript","[""Software""]"
" #57207248035  and  #56612620200  proposed the research point, conducted the program coding and paper writing","[""Software""]"
"#15925818700 : Conceptualization, Data curation, Formal analysis, Funding acquisition, Investigation, Methodology, Project administration, Resources, Software, Supervision, Validation, Visualization, Writing - original draft, Writing - review & editing","[""Software""]"
" #6505807977  cherni: Conceptualization, Methodology, Software","[""Software""]"
"#57209100704 : Software, Validation","[""Software""]"
"The data was cleaned and coded by  #57222091689  and  #57210805253 B., who also initially helped in the adaptation of the coding manual","[""Software""]"
"#24778588900 : Methodology, Software, Validation, Writing- Reviewing and Editing.","[""Software""]"
"#57211417326 : Software, Visualization","[""Software""]"
"Software:  #55801653100 ,  #55660449000 ,  #57222228000 ,  #7004330824 ","[""Software""]"
"Software,  #13008167100 ,  #57219774987 , and  #56623998000 ","[""Software""]"
"#54942685500  implemented the post-optimization dispatch algorithm, and maintained software and hardware","[""Software""]"
" #57212199174 : Investigation, Software programming, Writing - original draft, Writing - review & editing, Visualization, Formal analysis","[""Software""]"
Software,"[""Software""]"
" #57193386906 G., Conceptualization, Methodology, Software, Validation, Formal analysis, all","[""Software""]"
#57222221182  programmed the 3D visualization software,"[""Software""]"
"Sung-Hoon  #57188739009 : Software, Validation, Visualisation, Funding acquisition, Writing - review & editing","[""Software""]"
"Software,  #56711050200  and  #55603894200 ","[""Software""]"
" #56579995000 : Conceptualization, Methodology, Software, Formal analysis, Investigation, Writing - Original Draft","[""Software""]"
#7407145012   #56014861600 : Software and Data processing.,"[""Software""]"
"Tomasz  #57196472517 : Visualization, Software","[""Software""]"
"#57216830945   #57206662338 : Investigation, Software, Writing-Original Draft","[""Software""]"
"#56176630700 : Software, Formal Analysis","[""Software""]"
"#56457888300  wrote the code, performed all the analysis, and produced all the figures","[""Software""]"
(3) describe the related mathematical modelling constraints.3.Jun-qing  #57211343812 ’s contributions are as follows: (1) code the compared algorithms and test the simulation,"[""Software""]"
#57214776918  provided software support,"[""Software""]"
" #57226251481 : Data curation, Methodology, Software, Writing – original draft","[""Software""]"
"#57210982723  reviewed the literature, coded data for twin analysis, and read and organized the references","[""Software""]"
"#57490700700 : Software, Validation, Formal analysis","[""Software""]"
"Software, B.S.K. and  #57411538100 ","[""Software""]"
" #57300076600 : Methodology, software, validation and analysis, writing and editing","[""Software""]"
"#35313098000 : Validation, Software","[""Software""]"
"and  #57206485229  Writing – original draft,  #57207856677 .,  #56030006900 ,  #23988634300 , and  #7003608129  Software,  #57414334900 d.S. Resources,  #57203096295 ,  #23988634300 , and  #7003608129  Supervision,  #23988634300  and  #7003608129  Project administration,  #7003608129  Funding acquisition,  #7003608129 ","[""Software""]"
"Software,  #57191413427 M.Q. and  #6701355516 ","[""Software""]"
"Software  #57033153900  Dongdong: Visualization Jiefeng  #57208825055 , Zhiqian  #57203209963 , Zhiyu  #57194415024 , Qinxin  #55021768600 , Jian  #57205735380 , Hao  #57188690897 , Cichang  #57205330361 : Investigation  #57209582874  Qianwang,  #55307630100   #57194415024 : Writing - Review & Editing","[""Software""]"
"#57198445270 ,  #56203305700 , and  #42263014700  performed software application and data visualization","[""Software""]"